gene,isoform,logFC,tpm_mean,pvalues,fdr
AT1G49350,AT1G49350_ID4,,2.1884921300810625,0.0,0.0
AT1G49350,AT1G49350_ID5,0.7241558392011653,2.1884921300810625,0.29120879120879123,0.36874858521628184
AT1G49350,AT1G49350_ID8,,2.1884921300810625,0.0,0.0
AT1G49350,AT1G49350_P1,-0.6123340629963678,2.1884921300810625,0.2972027972027972,0.3758019988940257
AT1G49360,AT1G49360.1,,4.7450934860823715,0.0,0.0
AT1G49360,AT1G49360_ID3,-0.36046719496782265,4.7450934860823715,1.0,1.0
AT1G49360,AT1G49360_ID4,,4.7450934860823715,0.0,0.0
AT1G49360,AT1G49360_P2,,4.7450934860823715,0.0,0.0
AT1G49380,AT1G49380_P1,,-inf,0.0,0.0
AT1G49390,AT1G49390_P1,,-inf,0.0,0.0
AT1G49390,AT1G49390_P2,,-inf,0.0,0.0
AT1G49400,AT1G49400.1,0.22434213806200853,4.343086744361282,1.0,1.0
AT1G49400,AT1G49400_P1,-2.6279797117210038,4.343086744361282,0.002997002997002997,0.005682938766225362
AT1G49405,AT1G49405.1,,-inf,0.0,0.0
AT1G49410,AT1G49410_P1,0.6250044081405588,3.819098420736275,0.22527472527472528,0.29595483446027454
AT1G49430,AT1G49430_ID1,0.24349351615850356,1.4889265639785867,1.0,1.0
AT1G49430,AT1G49430_P1,0.02130495185806136,1.4889265639785867,1.0,1.0
AT1G49430,AT1G49430_s1,-1.789693074163942,1.4889265639785867,0.06943056943056942,0.10417570391775033
AT1G49450,AT1G49450_P1,,-inf,0.0,0.0
AT1G49470,AT1G49470_P1,2.2919634122209254,-inf,0.004495504495504496,0.008251367931742524
AT1G49475,AT1G49475_P1,0.582840909822554,-inf,0.24075924075924077,0.31150134247479383
AT1G49480,AT1G49480_JS4,,5.749369987133945,0.0,0.0
AT1G49480,AT1G49480_P1,-0.7015413917578526,5.749369987133945,0.06593406593406594,0.09933723149152755
AT1G49480,AT1G49480_P2,,5.749369987133945,0.0,0.0
AT1G49480,AT1G49480_c3,-0.041521548128339525,5.749369987133945,1.0,1.0
AT1G49490,AT1G49490_P2,0.582840909822554,-inf,0.24075924075924077,0.31150134247479383
AT1G49500,AT1G49500_JS1,-0.2733882244237762,8.45480695957847,1.0,1.0
AT1G49500,AT1G49500_c1,-1.3805729318893787,8.45480695957847,0.0004995004995004995,0.0009878794793974671
AT1G49500,AT1G49500_c2,-0.05078301153409548,8.45480695957847,1.0,1.0
AT1G49510,AT1G49510_ID2,,4.318414375703615,0.0,0.0
AT1G49510,AT1G49510_JS3,,4.318414375703615,0.0,0.0
AT1G49510,AT1G49510_P1,-0.3372327360007321,4.318414375703615,1.0,1.0
AT1G49510,AT1G49510_P2,,4.318414375703615,0.0,0.0
AT1G49510,AT1G49510_P3,,4.318414375703615,0.0,0.0
AT1G49520,AT1G49520_ID2,1.364671817425621,2.6277413731178396,0.15784215784215785,0.218845384674788
AT1G49520,AT1G49520_P1,1.873996102278845,2.6277413731178396,0.07142857142857142,0.10689781916197011
AT1G49530,AT1G49530.1,0.2437402185870433,-inf,1.0,1.0
AT1G49540,AT1G49540.1,,3.2054610973933104,0.0,0.0
AT1G49540,AT1G49540_P2,1.104572312547735,3.2054610973933104,0.15934065934065933,0.2207024188204575
AT1G49560,AT1G49560_P1,1.8362935327224508,1.9480743266019604,0.08591408591408592,0.1265734102489917
AT1G49560,AT1G49560_s1,-0.7651520029670995,1.9480743266019604,0.2547452547452547,0.3266359609245195
AT1G49570,AT1G49570_ID2,0.7166064463558044,3.279732099573573,0.2517482517482518,0.32328360067232476
AT1G49570,AT1G49570_P1,2.007712659094676,3.279732099573573,0.03696303696303696,0.058073116799264746
AT1G49570,AT1G49570_c1,0.23456086106344043,3.279732099573573,1.0,1.0
AT1G49580,AT1G49580_P1,-1.364793148536343,2.4042353695175014,0.11638361638361638,0.1666253368693555
AT1G49580,AT1G49580_c1,,2.4042353695175014,0.0,0.0
AT1G49580,AT1G49580_c2,0.44380163721795585,2.4042353695175014,1.0,1.0
AT1G49590,AT1G49590_ID3,2.262316755733177,5.050138748514793,0.001998001998001998,0.0038437326392090072
AT1G49590,AT1G49590_JS2,,5.050138748514793,0.0,0.0
AT1G49590,AT1G49590_P1,-0.6478678995673635,5.050138748514793,0.14035964035964035,0.19691775365046799
AT1G49590,AT1G49590_P2,-0.07574411606661924,5.050138748514793,1.0,1.0
AT1G49600,AT1G49600_P1,-0.1896556114800294,6.7395797684230665,1.0,1.0
AT1G49600,AT1G49600_P3,2.2119732273055996,6.7395797684230665,0.0,0.0
AT1G49620,AT1G49620_ID2,,2.480807227955323,0.0,0.0
AT1G49620,AT1G49620_ID4,,2.480807227955323,0.0,0.0
AT1G49620,AT1G49620_P2,-0.04276906994784535,2.480807227955323,1.0,1.0
AT1G49620,AT1G49620_P3,1.4992540707243394,2.480807227955323,0.07342657342657342,0.10964529590654472
AT1G49630,AT1G49630.3,,2.2122347427100366,0.0,0.0
AT1G49630,AT1G49630_ID2,,2.2122347427100366,0.0,0.0
AT1G49630,AT1G49630_P1,0.6194002622652195,2.2122347427100366,0.2742257742257742,0.34895070115366034
AT1G49630,AT1G49630_P2,,2.2122347427100366,0.0,0.0
AT1G49630,AT1G49630_P4,-0.585492983946011,2.2122347427100366,0.2772227772227772,0.3524907421461577
AT1G49640,AT1G49640_P1,,-inf,0.0,0.0
AT1G49650,AT1G49650.1,0.3308557059080841,-inf,1.0,1.0
AT1G49660,AT1G49660_P1,0.3952316424686746,4.963414566241089,1.0,1.0
AT1G49670,AT1G49670.2,,4.631955655427695,0.0,0.0
AT1G49670,AT1G49670_ID4,,4.631955655427695,0.0,0.0
AT1G49670,AT1G49670_P1,0.5641775300668481,4.631955655427695,0.2137862137862138,0.2857684952621818
AT1G49700,AT1G49700.2,,-inf,0.0,0.0
AT1G49710,AT1G49710_P1,2.030586364227262,3.4787950767545506,0.02197802197802198,0.035626774711608855
AT1G49720,AT1G49720_P1,0.20186167090048812,4.091506126374098,1.0,1.0
AT1G49720,AT1G49720_P2,,4.091506126374098,0.0,0.0
AT1G49720,AT1G49720_c1,-0.21611003117114658,4.091506126374098,1.0,1.0
AT1G49730,AT1G49730.1,-0.7113683879591406,-inf,0.22527472527472528,0.29595483446027454
AT1G49730,AT1G49730_ID11,,-inf,0.0,0.0
AT1G49730,AT1G49730_ID19,,-inf,0.0,0.0
AT1G49730,AT1G49730_ID27,,-inf,0.0,0.0
AT1G49730,AT1G49730_ID29,,-inf,0.0,0.0
AT1G49730,AT1G49730_P3,,-inf,0.0,0.0
AT1G49730,AT1G49730_c1,,-inf,0.0,0.0
AT1G49740,AT1G49740_JS1,,2.1498904068205373,0.0,0.0
AT1G49740,AT1G49740_P1,1.6377249751072833,2.1498904068205373,0.18981018981018982,0.2579650332332291
AT1G49750,AT1G49750_P1,2.2889308409968665,2.941300729639737,0.037462537462537464,0.05879641291774637
AT1G49760,AT1G49760.2,0.013494692253320562,5.595909771424029,1.0,1.0
AT1G49760,AT1G49760_P1,-0.5826230660243494,5.595909771424029,0.11688311688311688,0.1672652101212192
AT1G49780,AT1G49780_P1,-0.2258425600881755,2.262902503465383,1.0,1.0
AT1G49820,AT1G49820.1,0.0928968397396579,4.95358927963145,1.0,1.0
AT1G49832,AT1G49832_s1,2.888922733092781,2.3796424296499303,0.006493506493506494,0.0114512219646694
AT1G49840,AT1G49840_JS1,-1.078245476304784,3.1083963550043285,0.15334665334665334,0.21323549464776137
AT1G49840,AT1G49840_P1,1.4567170128413647,3.1083963550043285,0.1003996003996004,0.14591146052378656
AT1G49840,AT1G49840_s2,,3.1083963550043285,0.0,0.0
AT1G49850,AT1G49850_P1,0.22523146525695292,5.796706846433126,1.0,1.0
AT1G49850,AT1G49850_s1,1.805286635021332,5.796706846433126,0.0004995004995004995,0.0009878794793974671
AT1G49860,AT1G49860_P1,-0.6971856087908055,2.737568549406697,0.31518481518481517,0.39700839606535127
AT1G49860,AT1G49860_c1,-2.168462437673967,2.737568549406697,0.040459540459540456,0.06313742510194262
AT1G49870,AT1G49870_P1,,-inf,0.0,0.0
AT1G49870,AT1G49870_P2,,-inf,0.0,0.0
AT1G49880,AT1G49880_P1,,-inf,0.0,0.0
AT1G49880,AT1G49880_P2,0.75979074225656,-inf,0.22377622377622378,0.295276973977335
AT1G49890,AT1G49890_ID1,0.14431132437929595,4.054253952051623,1.0,1.0
AT1G49890,AT1G49890_P1,-0.8257695259279045,4.054253952051623,0.15434565434565434,0.21447028440349783
AT1G49910,AT1G49910_P1,,-inf,0.0,0.0
AT1G49938,AT1G49938.1,,-inf,0.0,0.0
AT1G49952,AT1G49952.1,,-inf,0.0,0.0
AT1G49950,AT1G49950_ID15,,5.70092184116352,0.0,0.0
AT1G49950,AT1G49950_ID2,,5.70092184116352,0.0,0.0
AT1G49950,AT1G49950_ID3,,5.70092184116352,0.0,0.0
AT1G49950,AT1G49950_JC14,,5.70092184116352,0.0,0.0
AT1G49950,AT1G49950_JC4,,5.70092184116352,0.0,0.0
AT1G49950,AT1G49950_JS1,0.7204153720443858,5.70092184116352,0.06593406593406594,0.09933723149152755
AT1G49950,AT1G49950_P1,-0.3342773095882938,5.70092184116352,1.0,1.0
AT1G49950,AT1G49950_P2,-0.07864653473453931,5.70092184116352,1.0,1.0
AT1G49950,AT1G49950_c1,-1.2491236421179415,5.70092184116352,0.011488511488511488,0.019400356776269865
AT1G49960,AT1G49960.1,,-inf,0.0,0.0
AT1G49970,AT1G49970_ID7,-1.2544652400044662,6.925255960977002,0.004495504495504496,0.008251367931742524
AT1G49970,AT1G49970_P1,-0.9714250538876996,6.925255960977002,0.01048951048951049,0.01780787314618598
AT1G49975,AT1G49975_P1,0.12263311937537269,3.3414472851940116,1.0,1.0
AT1G49975,AT1G49975_s1,0.003172562520730171,3.3414472851940116,1.0,1.0
AT1G49980,AT1G49980_JC11,,-inf,0.0,0.0
AT1G49980,AT1G49980_P1,,-inf,0.0,0.0
AT1G49980,AT1G49980_P2,-0.5062180741922537,-inf,0.45554445554445555,0.5669805886081799
AT1G49980,AT1G49980_P3,,-inf,0.0,0.0
AT1G49980,AT1G49980_P4,,-inf,0.0,0.0
AT1G49980,AT1G49980_P5,,-inf,0.0,0.0
AT1G49980,AT1G49980_P6,,-inf,0.0,0.0
AT1G49980,AT1G49980_P9,,-inf,0.0,0.0
AT1G49980,AT1G49980_c1,,-inf,0.0,0.0
AT1G49980,AT1G49980_c3,,-inf,0.0,0.0
AT1G49980,AT1G49980_s2,,-inf,0.0,0.0
AT1G49990,AT1G49990_P1,,-inf,0.0,0.0
AT1G50000,AT1G50000_ID1,-0.5245031153801232,-inf,0.44805194805194803,0.5589283767611412
AT1G50000,AT1G50000_ID5,,-inf,0.0,0.0
AT1G50000,AT1G50000_P1,0.9884500016618003,-inf,0.01098901098901099,0.018603904154556677
AT1G50010,AT1G50010.1,-0.22272203076203478,6.482935712984418,1.0,1.0
AT1G50020,AT1G50020_P1,-1.3091799848427312,6.217752833563586,0.008991008991008992,0.015417759188760267
AT1G50020,AT1G50020_c1,-1.2586709033744756,6.217752833563586,0.00999000999000999,0.017010059502977348
AT1G50020,AT1G50020_s2,,6.217752833563586,0.0,0.0
AT1G50030,AT1G50030.2,,4.93361045243208,0.0,0.0
AT1G50030,AT1G50030_JS2,-0.6179913139987185,4.93361045243208,0.16083916083916083,0.22252728728597676
AT1G50030,AT1G50030_P1,1.3017366360650238,4.93361045243208,0.025474525474525476,0.04092188435172845
AT1G50040,AT1G50040_P1,0.7948209519213938,5.420152254783535,0.06543456543456544,0.09865336725704618
AT1G50050,AT1G50050.1,,-inf,0.0,0.0
AT1G50055,AT1G50055.1,1.1074906034368888,2.683913983758433,0.2012987012987013,0.2717150725310223
AT1G50060,AT1G50060_P1,,-inf,0.0,0.0
AT1G50090,AT1G50090_P1,,-inf,0.0,0.0
AT1G50110,AT1G50110_P1,,-inf,0.0,0.0
