gene,isoform,logFC,tpm_mean,pvalues
AT1G01010,AT1G01010.1,0.023478199381184783,3.081809835727739,1.0
AT1G01020,AT1G01020_P1,0.12374063697797677,3.929957611369416,1.0
AT1G01020,AT1G01020_P2,,3.929957611369416,0.0
AT1G01020,AT1G01020_P3,-0.0858026752946377,3.929957611369416,1.0
AT1G01020,AT1G01020_P4,,3.929957611369416,0.0
AT1G01020,AT1G01020_P5,0.7862724116286564,3.929957611369416,0.17832167832167833
AT1G01030,AT1G01030.1,-0.7157957518612452,1.860242313352781,0.17182817182817184
AT1G01040,AT1G01040.2,,3.3726718563636773,0.0
AT1G01040,AT1G01040_P1,-0.5939193091565365,3.3726718563636773,0.2337662337662338
AT1G01046,AT1G01046.1,-1.9853438651254622,4.292251926269813,0.04995004995004998
AT1G01050,AT1G01050_P1,-0.34871519769856985,6.9476651970732,1.0
AT1G01050,AT1G01050_P2,,6.9476651970732,0.0
AT1G01050,AT1G01050_c1,,6.9476651970732,0.0
AT1G01060,AT1G01060.2,0.7496739623878921,5.967248678037406,0.18831168831168832
AT1G01060,AT1G01060.3,-0.4144956718446329,5.967248678037406,1.0
AT1G01060,AT1G01060.4,-0.2172451843426586,5.967248678037406,1.0
AT1G01060,AT1G01060.5,,5.967248678037406,0.0
AT1G01060,AT1G01060_ID6,,5.967248678037406,0.0
AT1G01060,AT1G01060_JS31,,5.967248678037406,0.0
AT1G01060,AT1G01060_P1,,5.967248678037406,0.0
AT1G01060,AT1G01060_P6,,5.967248678037406,0.0
AT1G01060,AT1G01060_P7,-0.16617227860444572,5.967248678037406,1.0
AT1G01070,AT1G01070_P1,-0.48651335265602746,2.5203756602167,1.0
AT1G01070,AT1G01070_P2,,2.5203756602167,0.0
AT1G01080,AT1G01080.2,,5.926988348575064,0.0
AT1G01080,AT1G01080_JS1,0.5686311412276249,5.926988348575064,0.24275724275724275
AT1G01080,AT1G01080_P1,-0.5414865006101142,5.926988348575064,0.2532467532467533
AT1G01080,AT1G01080_P3,0.02586014137192283,5.926988348575064,1.0
AT1G01090,AT1G01090_P1,-0.43659207265191746,6.937213589099399,1.0
AT1G01100,AT1G01100_P1,-0.4375125243939344,7.9241949931013345,1.0
AT1G01100,AT1G01100_P2,-0.5318852364378657,7.9241949931013345,0.25574425574425574
AT1G01100,AT1G01100_P3,0.04275425506541097,7.9241949931013345,1.0
AT1G01100,AT1G01100_P4,,7.9241949931013345,0.0
AT1G01110,AT1G01110_P1,,1.4900410620066489,0.0
AT1G01110,AT1G01110_P2,-0.9952395319253159,1.4900410620066489,0.11788211788211789
AT1G01110,AT1G01110_s1,-0.6925041886002996,1.4900410620066489,0.17632367632367635
AT1G01120,AT1G01120_P1,0.8511639302737803,5.637911329737407,0.16533466533466534
AT1G01120,AT1G01120_s1,,5.637911329737407,0.0
AT1G01130,AT1G01130.1,0.8105953557146524,2.900957667056338,0.17332667332667334
AT1G01130,AT1G01130_ID1,0.36737429501295127,2.900957667056338,1.0
AT1G01140,AT1G01140.2,,5.333412783759309,0.0
AT1G01140,AT1G01140.3,,5.333412783759309,0.0
AT1G01140,AT1G01140_ID2,,5.333412783759309,0.0
AT1G01140,AT1G01140_ID5,,5.333412783759309,0.0
AT1G01140,AT1G01140_ID7,,5.333412783759309,0.0
AT1G01140,AT1G01140_P1,0.37785948328100094,5.333412783759309,1.0
AT1G01160,AT1G01160.1,-0.07680633469848708,5.188439413050116,1.0
AT1G01160,AT1G01160.2,,5.188439413050116,0.0
AT1G01160,AT1G01160_s1,-0.05160702035554676,5.188439413050116,1.0
AT1G01170,AT1G01170.1,0.29874334733320573,8.325891504200744,1.0
AT1G01170,AT1G01170.2,0.2992482552674183,8.325891504200744,1.0
AT1G01180,AT1G01180_P1,0.7301415302435377,2.943666175566989,0.19380619380619385
AT1G01190,AT1G01190_P2,-0.6931228582057505,-0.09366916020477026,0.2927072927072927
AT1G01200,AT1G01200_P1,0.11179681192545288,0.6561949976253061,1.0
AT1G01210,AT1G01210_P3,0.14541306869549242,4.376561861644912,1.0
AT1G01220,AT1G01220_P1,-0.8381625549133025,3.8630789815241786,0.16583416583416583
AT1G01220,AT1G01220_P2,,3.8630789815241786,0.0
AT1G01220,AT1G01220_P3,,3.8630789815241786,0.0
AT1G01220,AT1G01220_P4,0.8927169777156787,3.8630789815241786,0.16183816183816185
AT1G01220,AT1G01220_P5,,3.8630789815241786,0.0
AT1G01220,AT1G01220_P6,0.35736985319013015,3.8630789815241786,1.0
AT1G01220,AT1G01220_P7,,3.8630789815241786,0.0
AT1G01220,AT1G01220_P8,,3.8630789815241786,0.0
AT1G01225,AT1G01225_P1,-0.36593935659184607,1.8663406893237753,1.0
AT1G01230,AT1G01230_P1,0.15159115133874312,5.273079353158655,1.0
AT1G01240,AT1G01240_P1,0.7949662344268846,4.366647256891051,0.17532467532467533
AT1G01240,AT1G01240_P2,,4.366647256891051,0.0
AT1G01240,AT1G01240_P3,0.4410061637774938,4.366647256891051,1.0
AT1G01240,AT1G01240_P4,0.659779045116294,4.366647256891051,0.2142857142857143
AT1G01250,AT1G01250_P1,0.4204033778602603,1.7556856296479555,1.0
AT1G01260,AT1G01260_ID2,0.06766246320454017,3.0819448753337744,1.0
AT1G01260,AT1G01260_P1,-0.398068557631011,3.0819448753337744,1.0
AT1G01260,AT1G01260_P3,0.0737305417759524,3.0819448753337744,1.0
AT1G01290,AT1G01290_P1,-0.6096815432984657,3.797674545578542,0.23126873126873126
AT1G01290,AT1G01290_P2,0.38557117977076816,3.797674545578542,1.0
AT1G01300,AT1G01300_P1,-0.5751033530453933,4.749080780977024,0.2382617382617383
AT1G01300,AT1G01300_s1,0.23088635404951696,4.749080780977024,1.0
AT1G01320,AT1G01320.1,,7.107859580908094,0.0
AT1G01320,AT1G01320.2,,7.107859580908094,0.0
AT1G01320,AT1G01320_ID7,-0.416966234675464,7.107859580908094,1.0
AT1G01320,AT1G01320_ID8,,7.107859580908094,0.0
AT1G01320,AT1G01320_JC2,-0.8483677461590027,7.107859580908094,0.16533466533466534
AT1G01320,AT1G01320_JC3,,7.107859580908094,0.0
AT1G01320,AT1G01320_JS4,,7.107859580908094,0.0
