gene,isoform,logFC,tpm_mean,pvalues
AT3G44860,AT3G44860_JS2,-0.7192335552402711,1.4758000091797556,0.19630369630369632
AT3G44860,AT3G44860_P1,,1.4758000091797556,0.0
AT3G44860,AT3G44860_c1,,1.4758000091797556,0.0
AT3G44870,AT3G44870.1,,-inf,0.0
AT3G44880,AT3G44880_P1,0.1653605147664825,6.019162320811834,1.0
AT3G44890,AT3G44890_P1,-3.862212843061384,6.479996049769937,0.011988011988012026
AT3G44900,AT3G44900_P1,,-2.2617223607805252,0.0
AT3G44940,AT3G44940_ID2,,1.660748715497435,0.0
AT3G44940,AT3G44940_P1,-2.4612139323914346,1.660748715497435,0.015484515484515515
AT3G44950,AT3G44950.1,,-inf,0.0
AT3G44960,AT3G44960_JS2,,0.40994954061223443,0.0
AT3G44960,AT3G44960_c1,,0.40994954061223443,0.0
AT3G44970,AT3G44970_ID3,,3.4090880674231583,0.0
AT3G44970,AT3G44970_P1,-1.2827486095936758,3.4090880674231583,0.08991008991008992
AT3G44970,AT3G44970_P2,-1.8323764501742086,3.4090880674231583,0.05344655344655347
AT3G44990,AT3G44990_JS1,,5.367545907621543,0.0
AT3G44990,AT3G44990_P1,-1.5541750753866106,5.367545907621543,0.06843156843156845
AT3G45010,AT3G45010_ID12,,5.581789764208411,0.0
AT3G45010,AT3G45010_ID14,,5.581789764208411,0.0
AT3G45010,AT3G45010_P1,1.0286697908131446,5.581789764208411,0.12337662337662342
AT3G45010,AT3G45010_c1,,5.581789764208411,0.0
AT3G45020,AT3G45020_JS2,,2.644689005291629,0.0
AT3G45020,AT3G45020_P1,0.06550280649876905,2.644689005291629,1.0
AT3G45020,AT3G45020_P2,,2.644689005291629,0.0
AT3G45030,AT3G45030_P1,-1.6029275893048487,7.124613811528452,0.06643356643356646
AT3G45040,AT3G45040_P1,1.0919773153269596,3.8820525733720874,0.11088911088911091
AT3G45040,AT3G45040_P2,0.6743380236071012,3.8820525733720874,0.2112887112887113
AT3G45050,AT3G45050.1,,5.875106056913236,0.0
AT3G45050,AT3G45050.2,,5.875106056913236,0.0
AT3G45050,AT3G45050_P3,-0.7680861440110469,5.875106056913236,0.17982017982017984
AT3G45050,AT3G45050_P4,0.26740821702590356,5.875106056913236,1.0
AT3G45060,AT3G45060_P1,,0.2780425925291474,0.0
AT3G45070,AT3G45070_P2,-2.03865130264955,1.6307467821366777,0.0334665334665335
AT3G45070,AT3G45070_c1,,1.6307467821366777,0.0
AT3G45070,AT3G45070_c2,,1.6307467821366777,0.0
AT3G45080,AT3G45080_P1,,-0.875030671790306,0.0
AT3G45090,AT3G45090.2,,3.3723983718565504,0.0
AT3G45090,AT3G45090_P1,-0.38536231524097886,3.3723983718565504,1.0
AT3G45100,AT3G45100.1,0.22876780075012482,4.469211598135944,1.0
AT3G45100,AT3G45100_ID3,0.5368684652601563,4.469211598135944,0.25724275724275725
AT3G45100,AT3G45100_ID4,1.228608730254705,4.469211598135944,0.09340659340659341
AT3G45100,AT3G45100_ID5,,4.469211598135944,0.0
AT3G45100,AT3G45100_ID6,,4.469211598135944,0.0
AT3G45100,AT3G45100_JS4,,4.469211598135944,0.0
AT3G45100,AT3G45100_JS5,,4.469211598135944,0.0
AT3G45100,AT3G45100_P2,,4.469211598135944,0.0
AT3G45100,AT3G45100_P3,,4.469211598135944,0.0
AT3G45100,AT3G45100_c1,,4.469211598135944,0.0
AT3G45100,AT3G45100_c2,,4.469211598135944,0.0
AT3G45100,AT3G45100_c3,,4.469211598135944,0.0
AT3G45100,AT3G45100_s3,,4.469211598135944,0.0
AT3G45120,AT3G45120.1,,-inf,0.0
AT3G45130,AT3G45130_P2,,1.9326055255697538,0.0
AT3G45130,AT3G45130_P3,,1.9326055255697538,0.0
AT3G45140,AT3G45140_P1,-2.2753600090594253,7.60280720318412,0.035464535464535485
AT3G45140,AT3G45140_P2,-0.23182771172448205,7.60280720318412,1.0
AT3G45160,AT3G45160_P1,-3.6195007847714704,5.0421400284662194,0.01348651348651353
AT3G45180,AT3G45180.1,,-inf,0.0
AT3G45190,AT3G45190_P1,-0.46151110320673716,5.0682417240858815,1.0
AT3G45190,AT3G45190_s1,1.1474224181520625,5.0682417240858815,0.10039960039960044
AT3G45210,AT3G45210_P1,-0.12508932629050662,3.754962492007869,1.0
AT3G45230,AT3G45230_P1,-2.0579915395248216,3.498830573262723,0.04245754245754246
AT3G45240,AT3G45240.2,0.8399251600555795,4.844462322322867,0.15884115884115885
AT3G45240,AT3G45240.3,,4.844462322322867,0.0
AT3G45240,AT3G45240_P1,-0.08947498825278388,4.844462322322867,1.0
AT3G45240,AT3G45240_c1,-0.473078421655303,4.844462322322867,1.0
AT3G45240,AT3G45240_c2,,4.844462322322867,0.0
AT3G45240,AT3G45240_c3,0.6997772776462607,4.844462322322867,0.2017982017982018
AT3G45240,AT3G45240_s2,,4.844462322322867,0.0
AT3G45260,AT3G45260_P1,0.5995907462661805,4.198880063440542,0.2337662337662338
AT3G45260,AT3G45260_P2,,4.198880063440542,0.0
AT3G45285,AT3G45285.1,,-inf,0.0
AT3G45290,AT3G45290_ID1,,2.2390447283274293,0.0
AT3G45290,AT3G45290_ID10,,2.2390447283274293,0.0
AT3G45290,AT3G45290_ID11,,2.2390447283274293,0.0
AT3G45290,AT3G45290_ID7,,2.2390447283274293,0.0
AT3G45290,AT3G45290_ID8,,2.2390447283274293,0.0
AT3G45290,AT3G45290_ID9,,2.2390447283274293,0.0
AT3G45290,AT3G45290_P1,-0.885007857738203,2.2390447283274293,0.1158841158841159
AT3G45300,AT3G45300_P1,1.0116720906379406,5.750390156975625,0.12487512487512487
AT3G45310,AT3G45310.2,,5.473040471835095,0.0
AT3G45310,AT3G45310_P1,0.9960226164813442,5.473040471835095,0.1258741258741259
AT3G45400,AT3G45400_P1,-1.393056565890924,1.7201887171556138,0.06293706293706297
AT3G45410,AT3G45410_P1,2.172414812198842,2.1612158490076294,0.023976023976023997
AT3G45420,AT3G45420_P1,-0.7606214895837335,0.5239664350612923,0.2237762237762238
AT3G45440,AT3G45440.1,,-1.2556009892473354,0.0
AT3G45443,AT3G45443_ID2,1.9157051672149814,4.054004273075578,0.047452547452547456
AT3G45443,AT3G45443_P1,2.7389304603845543,4.054004273075578,0.026973026973027003
AT3G45443,AT3G45443_c1,,4.054004273075578,0.0
AT3G45530,AT3G45530_P1,2.8747332783531427,0.9819852308346422,0.009490509490509502
AT3G45590,AT3G45590_P1,0.8798531055259708,3.054853481566272,0.15184815184815187
AT3G45590,AT3G45590_P2,1.472381679036009,3.054853481566272,0.07292707292707296
AT3G45600,AT3G45600.1,1.0360621661521456,5.891792495074998,0.12187812187812191
AT3G45610,AT3G45610_JS2,,0.3018677529308361,0.0
AT3G45610,AT3G45610_P1,,0.3018677529308361,0.0
AT3G45620,AT3G45620.2,,5.75339679287487,0.0
AT3G45620,AT3G45620_ID2,,5.75339679287487,0.0
AT3G45620,AT3G45620_P1,2.5456967828758454,5.75339679287487,0.030469530469530492
AT3G45630,AT3G45630.1,0.6973665834767724,4.854416193210705,0.20229770229770233
AT3G45630,AT3G45630_c1,,4.854416193210705,0.0
AT3G45630,AT3G45630_c2,,4.854416193210705,0.0
AT3G45638,AT3G45638.1,,0.472975693231465,0.0
AT3G45638,AT3G45638_ID1,,0.472975693231465,0.0
AT3G45640,AT3G45640_P1,-0.4608123269241826,6.169488644917764,1.0
AT3G45650,AT3G45650_P1,-1.3882717722775564,2.188166069024158,0.06143856143856147
AT3G45650,AT3G45650_P2,,2.188166069024158,0.0
AT3G45660,AT3G45660_P1,,-2.3250238615962466,0.0
AT3G45680,AT3G45680_P1,-0.32400282545359493,0.6312450025607474,1.0
AT3G45700,AT3G45700_P1,,-2.3990725758382654,0.0
AT3G45710,AT3G45710_P1,-2.796843525489128,1.3267368485897322,0.013986013986014012
AT3G45730,AT3G45730_P1,3.7507058085462384,4.811757360007072,0.012987012987012991
AT3G45740,AT3G45740_ID4,,4.061389329300902,0.0
AT3G45740,AT3G45740_P1,-0.6417957792479627,4.061389329300902,0.21978021978021978
AT3G45740,AT3G45740_P2,1.8134651065693013,4.061389329300902,0.05594405594405594
AT3G45750,AT3G45750_JC14,,2.6966962880327463,0.0
AT3G45750,AT3G45750_JS1,,2.6966962880327463,0.0
AT3G45750,AT3G45750_JS8,1.2341197650048779,2.6966962880327463,0.0919080919080919
AT3G45750,AT3G45750_P1,,2.6966962880327463,0.0
AT3G45750,AT3G45750_P4,,2.6966962880327463,0.0
AT3G45750,AT3G45750_c1,,2.6966962880327463,0.0
AT3G45770,AT3G45770_ID11,2.4345679604863517,5.517977902066855,0.03246753246753248
AT3G45770,AT3G45770_ID2,,5.517977902066855,0.0
AT3G45770,AT3G45770_ID7,,5.517977902066855,0.0
AT3G45770,AT3G45770_ID9,,5.517977902066855,0.0
AT3G45770,AT3G45770_P1,-0.3691706702720552,5.517977902066855,1.0
AT3G45780,AT3G45780_P1,-3.9202253062700056,5.063327681859578,0.010989010989011005
AT3G45780,AT3G45780_P2,,5.063327681859578,0.0
AT3G45830,AT3G45830.1,-0.13457446149721752,3.6030442972612398,1.0
AT3G45840,AT3G45840_P1,,-1.5580485050820545,0.0
AT3G45850,AT3G45850.1,,3.546250258145831,0.0
AT3G45850,AT3G45850.2,-2.9032422341412483,3.546250258145831,0.02447552447552448
AT3G45850,AT3G45850_c1,,3.546250258145831,0.0
AT3G45851,AT3G45851.1,,-inf,0.0
AT3G45860,AT3G45860_ID2,,2.5026937258501434,0.0
AT3G45860,AT3G45860_ID6,,2.5026937258501434,0.0
AT3G45860,AT3G45860_P1,1.2589941744979627,2.5026937258501434,0.06943056943056947
AT3G45870,AT3G45870.2,,-0.06284772507835176,0.0
AT3G45870,AT3G45870_P1,,-0.06284772507835176,0.0
AT3G45880,AT3G45880.1,0.9993437019901638,1.1076620524520957,0.13736263736263737
AT3G45890,AT3G45890_P1,-0.497241106354779,3.0218816468264262,1.0
AT3G45890,AT3G45890_c1,,3.0218816468264262,0.0
AT3G45900,AT3G45900.1,-0.6462431986083685,3.6163994453057287,0.2192807192807193
AT3G45900,AT3G45900_ID3,,3.6163994453057287,0.0
AT3G45900,AT3G45900_ID5,-0.48093996989571564,3.6163994453057287,1.0
AT3G45930,AT3G45930_P1,-1.3297686857717244,4.98148805748278,0.08591408591408595
AT3G45960,AT3G45960_P1,0.3761473640408982,0.9269462761546361,1.0
AT3G45960,AT3G45960_P2,,0.9269462761546361,0.0
AT3G45970,AT3G45970.1,2.7277437057076614,6.13305189905683,0.026973026973027003
AT3G45970,AT3G45970_ID2,2.193205579409404,6.13305189905683,0.038961038961038974
AT3G45980,AT3G45980.1,-1.2783236599000816,6.8607615069491,0.0904095904095904
AT3G46000,AT3G46000_JC5,,7.25479519014311,0.0
AT3G46000,AT3G46000_P1,0.1361313824535768,7.25479519014311,1.0
AT3G46000,AT3G46000_P3,1.3804361428474528,7.25479519014311,0.08241758241758246
AT3G46000,AT3G46000_c1,1.4461783934453667,7.25479519014311,0.07592407592407596
AT3G46000,AT3G46000_c3,-1.0431246051465362,7.25479519014311,0.12137862137862138
AT3G46000,AT3G46000_s1,,7.25479519014311,0.0
AT3G46010,AT3G46010.2,,7.220565286659903,0.0
AT3G46010,AT3G46010_P1,-0.04157320771345496,7.220565286659903,1.0
AT3G46010,AT3G46010_c2,,7.220565286659903,0.0
AT3G46010,AT3G46010_c3,,7.220565286659903,0.0
AT3G46020,AT3G46020_ID1,,3.53450847439262,0.0
AT3G46020,AT3G46020_ID3,,3.53450847439262,0.0
AT3G46020,AT3G46020_ID6,,3.53450847439262,0.0
